地域	値	店舗数	人口
東北	14238	25	780
東北	30029	24	1656
関東	12175	9	1195
関東	29928	7	403
関西	22437	22	826
九州	26304	29	796
九州	14724	29	866
中部	31334	9	1655
九州	20389	5	1081
中部	17756	27	1363
九州	26490	23	640
関西	21819	11	1460
九州	20501	12	1891
関東	20056	10	1470
九州	24478	24	1412
関西	19076	29	552
東北	20437	19	1016
中部	20386	16	701
東北	31973	26	1735
関西	29284	19	1474
東北	29427	15	952
関西	31210	6	1834
東北	25067	11	826
東北	26260	15	1060
九州	26837	11	1646
関東	20864	19	1424
中部	16785	11	1953
東北	12317	21	899
九州	29552	20	745
関西	12637	11	818
中部	12748	17	1646
九州	22780	5	1569
東北	12166	16	1542
関西	24470	13	1884
東北	26597	9	1951
関東	28189	6	1312
東北	16484	17	1603
九州	24906	22	1144
関東	13701	22	571
関東	16321	28	1271
中部	13368	26	644
関西	19904	7	1243
関西	24884	13	1497
関東	22239	23	443
関西	16707	13	1577
中部	21055	13	1101
関西	17134	8	503
関西	12773	23	1537
中部	15214	25	1400
中部	24091	22	1384
九州	18783	23	1604
中部	23056	22	871
九州	26101	21	1103
関西	14807	9	1364
九州	12912	12	1449
東北	26277	27	984
関西	28428	26	951
九州	14342	5	1096
中部	15492	22	664
九州	30509	29	1371
九州	28919	26	405
関東	30159	8	1730
中部	22743	25	1518
関東	17459	26	1569
東北	15260	7	1033
東北	24636	17	1782
東北	17857	17	977
九州	30169	22	1016
関東	27513	26	1535
中部	29278	14	1736
東北	27134	9	1126
東北	19129	7	1730
九州	30947	14	1598
東北	31741	22	771
関西	23721	28	1976
東北	20015	26	770
九州	20251	12	449
東北	12200	19	1973
東北	25758	22	884
中部	21920	26	653
関西	15686	19	716
関西	13053	12	1220
関西	14655	26	970
東北	17449	28	1146
九州	28375	22	1967
東北	25212	27	1944
中部	22829	19	657
関西	18885	24	1837
東北	19238	6	1887
関東	22659	22	1075
九州	13126	8	856
九州	25341	22	1209
関西	17150	5	1014
関西	26407	22	699
関西	17190	16	1384
東北	31443	17	1827
関東	31682	10	553
九州	14966	5	1232
関東	12802	29	1174
東北	31644	21	1136
九州	15105	17	1559
九州	27646	8	628
関東	18771	17	1250
東北	29048	26	1133
中部	20524	6	1320
関東	21284	28	995
関西	21073	24	773
関東	30343	29	1096
中部	22073	13	1571
中部	17457	15	583
東北	23610	7	1864
関東	23684	7	1629
関東	18804	26	1724
東北	30255	18	745
関東	29690	28	444
関東	26283	13	1224
東北	28937	9	1833
九州	27434	11	718
関東	12952	9	708
関西	28854	28	583
関西	29022	18	782
東北	20210	21	814
関西	18317	14	939
関西	26569	26	1265
東北	24892	19	1542
中部	19589	19	424
九州	28193	14	599
関東	19541	12	494
関東	21533	11	528
九州	19534	20	1893
関西	26497	8	1595
中部	31554	16	882
関西	23725	12	1487
九州	12410	24	1931
関東	27400	25	1884
関東	18815	5	1484
中部	13820	13	408
東北	18925	11	1265
中部	23318	8	1597
中部	14343	20	1707
九州	24385	25	1248
東北	29246	8	1013
中部	24095	6	1033
関西	17056	9	988
関西	20166	16	1246
関東	13591	22	846
関東	17964	19	693
中部	26385	21	1940
関東	27750	18	1558
関東	26085	15	576
九州	18777	12	1873
関西	22073	18	682
東北	23258	27	1692
東北	26545	25	1231
東北	12975	15	1471
九州	13964	13	918
東北	14076	29	1884
九州	16748	29	908
関東	24732	28	1891
中部	21322	24	1346
関西	12403	24	1564
東北	23219	27	812
東北	26431	12	814
九州	27821	8	426
九州	15032	29	1771
中部	28267	11	1492
関西	28934	21	1826
中部	27484	13	600
九州	20635	12	1962
関西	16066	13	1488
関東	16501	11	1663
東北	22282	14	1016
中部	30954	25	487
中部	16355	16	1491
関東	30905	20	1351
中部	26226	16	1250
関東	26871	13	1589
関西	14659	10	1972
九州	15990	24	1386
九州	22999	28	496
関東	16455	19	1934
中部	27232	23	1549
関西	30339	22	1029
関東	26561	25	1793
関西	30278	10	799
東北	23592	20	1878
中部	21067	24	554
九州	31712	12	1541
関東	12677	10	1906
九州	19508	16	742
中部	16135	6	1455
九州	17059	18	884
東北	26531	17	1410
関西	12148	12	864
九州	23582	13	572
関東	23565	17	544
九州	15077	7	1012
九州	24910	25	785
関東	30249	27	901
九州	27148	25	1884
関東	16968	14	1050
関東	28285	17	1487
九州	30841	14	1243
関西	31180	28	942
中部	18199	27	1932
九州	23740	24	1608
中部	19345	23	1950
関西	12289	19	1583
関東	26756	6	1319
中部	31409	26	896
東北	27180	26	981
九州	13219	12	1450
九州	19508	14	1014
関東	31273	8	1746
関西	29825	21	956
九州	24864	25	1750
関東	18060	29	817
関西	18360	7	581
関東	24358	13	821
九州	25369	8	1129
中部	21022	26	1055
東北	25814	20	524
関西	17652	20	791
中部	19369	13	1256
中部	18356	7	1739
関東	12764	7	1681
東北	26772	5	1575
中部	22912	7	1222
関西	14544	7	1662
関東	30479	18	1719
関西	15342	20	1264
関西	24413	10	894
東北	30446	25	709
関東	20671	27	1761
東北	26544	24	820
東北	26040	25	1658
東北	29640	12	1573
関東	12975	23	1076
関東	16151	20	1887
関西	18726	22	1235
九州	16408	26	1098
関西	29482	10	597
九州	21318	15	543
中部	24833	17	564
関西	23516	17	1779
関東	21652	14	591
中部	18929	29	912
中部	29032	19	1054
関西	24621	18	1834
関東	21291	7	1006
中部	19977	28	984
九州	30296	11	1742
中部	17985	7	1746
中部	26998	16	1916
九州	18132	23	903
中部	28486	8	740
関西	16774	13	912
中部	16273	18	1497
関西	26578	19	566
中部	30018	24	654
九州	14324	13	1815
関西	13095	11	523
東北	30934	23	873
九州	24426	12	1559
中部	30603	6	1918
中部	30450	14	518
関西	18426	26	1332
関西	28412	14	1739
中部	13458	26	1376
関西	27050	11	896
九州	22038	28	1979
中部	28403	5	948
関東	17308	27	1560
関西	20481	8	544
関東	25941	23	1966
関西	24335	19	1327
関東	17435	7	516
中部	20281	20	458
関西	20218	19	1768
中部	20933	7	1477
東北	23114	7	1705
東北	12086	7	1684
東北	21047	18	538
中部	27483	11	1354
関西	30586	13	1499
東北	15230	21	466
東北	24103	19	1832
九州	30748	12	573
東北	21723	17	439
関西	21710	19	1742
関西	18150	25	616
関西	14724	26	777
関西	27168	11	777
東北	30256	26	1671
九州	30690	29	1811
九州	29169	19	1911
関東	21378	9	1118
東北	13214	14	1293
東北	12285	17	1115
東北	22597	18	1668
東北	28132	23	614
東北	20015	19	544
九州	19323	7	548
東北	25398	20	1546
中部	21780	28	1500
関西	19589	5	429
九州	20246	24	540
東北	29731	11	1455
関西	28470	21	1827
関東	13490	19	1202
中部	23975	21	1497
中部	17770	13	590
東北	14162	6	508
中部	29283	5	1819
九州	12313	8	1643
中部	19716	27	1123
関西	27211	10	862
東北	19123	16	1174
関東	26090	9	1428
関東	24753	10	1434
関東	14844	20	1942
関東	20625	24	981
中部	21207	25	972
関東	13248	8	1055
九州	14584	16	1956
九州	13019	10	1077
九州	12553	10	1834
関東	17309	11	722
中部	19030	24	1082
中部	30396	9	456
九州	17306	8	1025
関東	30418	9	483
中部	21877	18	1859
関東	23984	8	1867
九州	15741	7	1827
関東	12964	19	1943
関西	25589	19	1991
東北	28615	18	707
九州	29079	13	1574
東北	17841	9	571
関東	20314	5	1269
九州	14548	26	1673
東北	19227	13	1468
九州	27173	14	632
中部	29285	22	632
九州	16345	21	798
東北	21379	13	668
中部	23898	23	1715
中部	17126	24	732
九州	13755	21	627
関西	28801	6	1750
関東	15731	14	1306
東北	31536	24	800
中部	30274	27	960
中部	27978	26	715
関西	31914	13	1814
九州	25189	12	1708
関西	30570	18	1540
関西	17961	17	769
関西	14805	19	1560
九州	20402	21	1894
関東	21980	27	1071
関東	29879	14	993
関東	14860	24	884
中部	19138	5	929
九州	14115	24	1912
関東	19520	18	1177
東北	17591	21	1088
関東	28785	24	1207
九州	26221	20	732
関東	24900	23	534
中部	29764	6	1289
関西	18000	18	1278
中部	16076	7	765
関西	31715	29	1122
中部	24365	14	714
九州	12204	25	893
東北	29910	6	1460
関東	21291	17	1817
東北	26699	8	1403
九州	30295	28	1879
関西	15200	23	953
九州	27815	23	521
東北	27724	6	710
九州	20921	28	867
関東	20821	19	677
九州	12864	20	1165
九州	29261	8	1598
関東	24823	16	820
関東	22551	18	905
関西	12073	20	804
東北	27851	22	1965
東北	14529	14	1417
九州	19118	26	1316
九州	30182	19	626
中部	23902	10	1821
九州	13785	23	1680
関東	22490	19	1045
東北	14354	29	1095
東北	20152	15	1989
関西	21095	16	1734
九州	18079	14	631
関西	17372	25	1489
関西	24356	25	532
関東	22060	18	552
中部	18733	25	826
関東	29543	7	1056
関東	14520	18	1787
九州	15533	19	901
東北	30589	7	665
関西	29158	13	906
東北	19995	19	1610
中部	14862	28	859
東北	24796	13	1941
関東	13350	28	653
関西	31739	11	1382
東北	31434	27	1806
中部	26214	6	1919
中部	21403	8	1835
関東	30985	8	949
東北	25113	9	732
中部	26369	23	1662
東北	24107	20	788
中部	30510	13	1981
関西	19180	28	1710
中部	14396	11	1401
中部	18065	7	1432
関西	18228	24	1548
関東	25556	24	1912
中部	15453	23	1084
中部	30072	11	1865
関東	26341	9	1423
東北	22865	8	1753
東北	13264	27	517
東北	18504	7	1157
中部	15658	12	640
東北	21604	7	1253
関西	26820	15	1145
関東	13762	15	1376
九州	25802	19	1068
九州	24587	13	1187
九州	19635	9	1214
九州	13573	7	699
九州	20940	15	892
関西	20160	11	475
九州	13213	28	627
中部	16376	23	1813
関東	18591	29	1292
関東	24740	27	1218
関西	16027	6	626
九州	28109	17	1440
九州	16855	27	1754
中部	14913	15	886
東北	16359	29	980
九州	12053	21	507
東北	16236	11	471
関西	28246	17	1353
九州	23645	7	1539
東北	14576	28	1576
関東	21417	16	1441
中部	25460	14	1411
関西	25034	19	542
中部	22504	14	758
東北	26147	15	1174
東北	20100	11	1960
中部	18544	15	1796
関東	21389	17	1232
東北	23669	23	1745
関東	13085	13	1167
中部	25189	24	1589
東北	24020	17	560
関西	15494	13	664
中部	25599	6	870
中部	14824	26	476
中部	25111	20	1762
東北	25008	9	968
関西	31885	13	1755
九州	28682	22	862
関東	12705	11	1969
九州	19786	6	1774
東北	24954	7	1943
関東	16359	24	536
中部	12382	19	1100
九州	22187	14	1933
九州	13362	13	1482
中部	25579	28	1330
関東	16758	23	1586
関西	13413	7	1410
九州	16481	23	1735
関東	28731	24	1977
九州	12228	19	1826
東北	26263	15	1434
九州	19458	22	560
関東	26323	17	1948
九州	27701	17	1306
関西	16795	19	798
九州	30123	6	685
関西	31524	6	1528
中部	30735	6	1875
関西	28170	28	1468
九州	19221	5	1846
九州	31295	26	1250
九州	28667	28	583
九州	23764	8	792
中部	22106	29	1376
東北	23519	5	1907
九州	30000	9	1392
九州	19738	6	1435
中部	28342	13	1566
九州	19756	8	1289
中部	16398	7	543
東北	22552	27	1086
九州	30794	10	417
九州	15382	15	1481
関東	22566	6	582
東北	30973	9	624
関西	27284	7	1613
東北	19102	21	1320
東北	17599	28	1971
東北	16754	11	1534
関西	28710	25	1148
関西	25329	22	484
中部	15527	6	1674
関西	12275	6	1135
東北	29177	15	1409
中部	12868	15	961
中部	26081	25	468
関西	12720	28	1526
関東	27956	20	1526
九州	14401	13	759
東北	27579	18	1371
東北	14725	27	1722
中部	30691	22	465
関西	17492	12	946
九州	18028	29	920
九州	29780	6	822
関西	19209	14	1589
九州	14749	20	680
関西	29362	21	621
中部	16401	21	474
九州	15570	18	483
関東	15616	21	719
九州	31679	29	1019
九州	29369	9	1111
九州	20432	5	966
関西	13476	9	1150
中部	29693	24	427
九州	29049	11	1742
関西	16283	25	693
関東	13411	18	1472
中部	25407	12	982
東北	14068	10	1532
関東	31003	12	1813
関東	30423	23	546
関東	24338	11	1077
関東	13012	15	1292
九州	15731	10	881
中部	31758	25	454
九州	25542	20	1182
九州	14777	8	1571
中部	27815	13	1059
関西	27023	23	523
東北	26539	11	1619
東北	29208	15	1295
中部	28999	6	1790
九州	22479	9	1025
関東	21780	29	1696
関西	20327	28	871
九州	13710	12	551
関東	28155	17	1561
九州	30781	5	686
中部	26126	15	1967
関西	24667	24	1630
九州	12078	25	1981
関東	16520	24	591
九州	22257	9	813
東北	22222	18	1137
関西	12736	13	1676
関東	25952	7	534
関西	28981	29	1577
関西	25067	7	1491
中部	22937	13	1665
九州	22910	25	1228
九州	13160	6	731
東北	15052	5	1343
東北	29195	28	903
東北	15318	18	1315
関西	19361	21	415
東北	15139	20	1415
中部	13670	16	1320
九州	15510	28	1121
関西	21162	25	1519
関東	13204	11	985
九州	21850	29	1775
関東	27423	12	937
東北	16554	28	1393
九州	28310	15	1597
九州	14684	9	1041
東北	23226	6	1838
関東	20362	5	630
関東	20836	22	554
関東	15964	10	1299
中部	31581	14	1442
関西	28067	18	1221
中部	24491	20	755
東北	25298	10	1950
九州	27290	25	402
中部	24749	13	1201
九州	31669	17	929
東北	18192	8	722
関東	29855	27	1400
関東	13409	19	732
関西	24299	11	1523
中部	29460	25	1067
関東	17050	24	1597
関東	31378	13	1632
関東	12675	9	1844
東北	29657	14	510
関東	27242	29	1524
中部	20167	28	948
関東	29464	7	1521
東北	20428	9	1694
中部	13298	25	1446
関西	21374	10	719
九州	22027	24	1228
関西	30848	7	491
関東	19935	29	1008
九州	20189	5	1755
九州	31790	15	809
東北	22984	29	1562
九州	30997	12	426
東北	24794	27	1580
中部	25549	27	1097
中部	26117	8	486
中部	17987	27	1067
東北	25753	20	464
九州	28363	17	1629
中部	25129	5	1953
東北	31890	6	1720
関東	15604	13	1866
関東	26166	28	447
中部	18815	6	1782
関西	15085	17	1736
関東	31965	13	651
東北	22396	20	1231
関西	25120	9	1609
関東	17815	28	870
東北	30059	6	1599
関西	31095	5	754
関東	12052	12	1669
中部	29981	6	1164
関西	14306	27	1992
中部	15146	26	969
九州	17641	26	1736
九州	12254	29	1111
中部	24161	9	1143
関東	23443	8	668
関東	15024	17	1265
中部	20175	8	1047
関西	24378	18	1405
東北	27593	15	1617
関西	19547	24	1932
関西	26120	19	1833
九州	20210	13	1977
九州	26511	6	783
東北	20426	5	915
九州	24990	13	896
中部	17962	6	880
中部	31493	11	1731
中部	22141	16	746
九州	27110	10	977
東北	26758	14	1384
九州	22840	22	571
関西	28573	14	995
関東	26637	6	1158
関東	20006	5	1026
九州	16465	11	1220
関東	20733	24	1385
九州	17886	22	950
東北	23178	23	1763
関西	29899	24	1490
中部	21236	18	673
関西	14085	7	1806
中部	22625	27	469
中部	30629	28	498
東北	14292	20	851
関東	13218	12	835
九州	30058	5	1360
九州	15351	13	429
中部	27138	7	919
九州	26048	24	1600
九州	18074	27	1742
関西	31931	22	1465
九州	21667	29	1517
関西	25972	6	604
中部	29197	28	1470
中部	21025	15	1759
関西	23688	22	1053
東北	25288	19	849
関西	20032	5	537
関西	14293	23	829
関東	17215	27	1923
関西	26044	16	801
中部	13872	23	1829
東北	17232	13	1486
中部	28323	12	509
九州	17123	6	1570
中部	27957	11	1498
関西	28607	14	1428
東北	29915	24	1747
関西	27116	5	1416
関西	14137	8	1904
中部	26231	21	1510
関東	16955	29	1247
中部	12160	18	1738
中部	17845	5	737
東北	16543	19	1053
中部	19196	17	819
関西	31034	28	1428
九州	26207	18	549
東北	20098	12	1948
中部	14235	20	1210
九州	14589	22	1372
中部	12419	15	731
九州	16427	26	1641
関東	15808	5	1791
関東	26347	7	1862
東北	24985	5	1480
東北	18175	23	673
九州	27039	26	963
関東	30795	7	1172
関東	25835	20	947
東北	16348	19	1172
中部	26967	13	1305
九州	30094	22	1628
関西	16293	24	824
関西	21730	23	1834
関東	12751	29	844
東北	13065	6	1619
中部	12788	29	1789
関東	30980	16	707
関東	19576	29	1039
中部	29269	15	1641
関西	13834	22	1868
九州	28205	16	1296
中部	23227	18	1009
関東	23247	13	588
関西	18402	17	557
九州	17618	25	1332
東北	19964	11	1148
中部	24672	12	1307
関西	14664	23	857
関西	20091	28	557
東北	30264	27	1213
関西	25079	8	1580
東北	16729	6	622
東北	31345	8	1398
関東	16447	18	482
中部	28411	17	1185
関東	14092	22	1843
関東	20966	14	1924
九州	30032	19	594
中部	17938	22	1657
中部	22816	28	803
関東	31423	19	1385
関東	25062	27	1613
中部	19828	8	1156
東北	20887	22	1176
関東	15759	28	1849
関西	12417	17	1409
九州	17675	26	1802
東北	30424	9	845
東北	30818	21	1655
九州	25139	5	1977
関東	29353	8	1979
九州	22166	13	759
関東	25478	10	1383
東北	13537	11	1741
中部	30469	11	1114
関西	22055	10	1633
関西	14232	8	1643
関西	18783	14	681
中部	21190	12	1114
関西	13627	17	1202
関東	13364	13	1709
関東	28343	11	1490
関東	16186	21	1853
九州	23497	11	1221
中部	24009	13	630
関西	23394	15	1719
東北	23679	5	1917
東北	23431	6	1934
中部	31263	10	1292
中部	24294	15	1874
九州	29014	17	1832
中部	24937	6	1348
関東	30835	7	1605
九州	24822	23	489
関東	29995	12	1007
九州	26423	7	485
東北	27213	9	1445
関西	26179	11	911
関西	18937	27	1221
九州	19150	29	1078
中部	22280	7	813
中部	20647	26	1057
関東	19243	10	1353
関東	17013	10	759
中部	13707	27	1692
中部	27235	6	1668
九州	17882	19	689
東北	16230	21	801
関東	30795	10	477
東北	26788	21	585
関西	17463	18	1092
九州	18344	18	1945
関西	12390	27	1969
九州	29234	29	724
東北	21149	27	1473
中部	15364	23	1384
関東	13335	10	1601
関西	27897	20	926
九州	28562	13	577
関西	28731	9	1979
関東	29120	28	1171
東北	13640	18	978
関東	18998	25	1757
九州	19984	25	876
関西	18329	20	1641
中部	25764	14	704
東北	13908	18	1295
九州	12834	24	1951
東北	14129	14	617
関東	22917	11	1650
中部	22624	25	1831
関東	23101	17	577
関東	13253	16	719
東北	29945	5	1829
関西	12720	13	999
東北	26538	18	715
関東	28328	12	777
関東	27904	20	1607
中部	31659	23	1771
九州	18174	28	828
中部	24457	29	1944
関東	12681	12	1260
九州	29931	23	1862
九州	22329	5	624
九州	23713	27	803
東北	31402	5	1562
東北	26842	11	1008
東北	19712	16	1462
中部	25121	17	1475
中部	15463	17	1540
関西	27189	20	677
関東	31456	10	1358
九州	21449	9	1309
中部	21475	7	1929
九州	15669	26	1446
関東	31038	15	1638
中部	28496	9	873
関西	18752	21	1863
中部	29735	6	1113
東北	28269	14	1369
関東	27664	10	598
関東	30267	25	408
九州	14472	13	1212
東北	17223	23	708
関西	24013	8	620
関西	27482	11	1877
関西	15181	24	403
関西	19760	11	834
中部	18329	21	1907
中部	20558	5	1518
東北	13267	25	1605
関西	15509	14	958
九州	24906	17	1020
九州	29114	25	520
関東	26780	13	1306
中部	14621	27	438
関東	23092	20	407
東北	30692	22	926
中部	20422	8	1951
関西	27406	8	1420
九州	13187	25	778
関東	27373	5	820
東北	12964	15	1986
中部	14215	23	1436
関東	28905	18	1958
九州	22595	25	914
九州	18427	10	1697
関西	14705	13	1824
中部	22766	26	1348
中部	12359	12	1808
関西	20791	20	988
関西	14871	16	1459
中部	22652	25	728
中部	16166	25	1478
関東	25668	8	603
関西	17570	28	830
九州	23789	5	814
東北	21928	22	837
九州	17553	17	1716
東北	14798	11	1090
関西	26301	23	605
東北	25254	22	1555
関西	19379	27	1774
中部	26228	16	1348
東北	29522	14	1827
東北	17078	6	1031
中部	29169	13	1453
東北	28730	16	582
九州	30020	15	770
関西	25841	14	1177
関東	28578	20	1777
中部	28861	25	919
関西	26524	25	1120
中部	17103	10	1029
関東	12699	13	952
関東	21219	9	897
中部	13650	28	654
関東	19906	16	1686
関東	25593	25	1743
関西	21391	12	1257
九州	14445	22	1829
中部	19355	17	560
関西	12079	12	916
九州	24412	8	552
東北	20944	5	854
中部	15469	22	457
関西	28107	19	641
東北	13948	12	1749
関東	23403	18	982
中部	15102	25	1352
関西	16753	20	623
東北	24598	20	535
東北	16898	7	1386
関東	25213	20	1225
関東	12477	16	1423
関東	21204	10	1417
関東	17784	10	1359
関東	28408	28	519
九州	20401	20	1118
関東	12706	23	1603
関西	15225	18	824
九州	30995	25	1935
中部	29848	23	1182
関西	21133	12	1788
九州	18003	13	912
中部	17106	19	1217
東北	13263	21	1946
関西	16367	10	1486
九州	30010	25	483
中部	29287	17	1516
東北	14289	27	687
関東	21261	16	1925
九州	24724	24	536
関西	30445	7	840
関西	14450	14	1267
東北	20521	10	1550
関西	20679	9	895
東北	30999	7	1488
九州	18613	6	1839
東北	21619	27	1564
東北	18358	20	1211
中部	12106	25	566
九州	14558	29	441
中部	15634	5	802
関西	31609	9	407
中部	28845	11	778
中部	27492	8	1416
関東	28136	28	570
中部	19164	8	935
東北	28798	29	1370
中部	28660	21	1456
関東	18621	22	788
中部	13520	17	1026
中部	16637	29	1139
中部	19959	29	869
東北	22841	13	1236
関西	24609	28	949
九州	12112	22	677
関西	23050	20	1459
関西	24224	13	1492
東北	18999	29	1697
関西	28956	5	878
九州	23086	16	996
関東	15753	19	1418
中部	29585	18	576
九州	18888	5	977
関西	14104	6	1742
九州	12244	14	1051
九州	19338	12	520
関西	30548	23	1235
中部	19999	17	1105
中部	31168	14	821
関西	30690	6	493
関西	18249	7	1300
関西	27790	18	1679
東北	24242	28	1928
関東	13144	25	1233
関西	15199	15	532
中部	23268	10	733
東北	20460	25	701
関東	28938	8	1713
関西	31207	6	1114
中部	13907	5	1517
東北	14510	20	841
中部	21460	14	1828
中部	13662	26	1286
中部	14845	27	1547
中部	13266	18	474
関東	26566	16	724
関東	17790	24	547
関東	24197	10	806
関西	24629	16	948
関西	20664	20	1808
中部	25794	7	709
関東	25522	10	1975
東北	31743	5	767
関東	19376	14	1406
関西	31573	12	695
関西	16282	23	1417
関西	20348	11	743
関西	13835	8	1910
中部	12360	15	1447
関東	25423	26	1469
関東	14347	17	748
中部	12476	14	683
東北	15330	17	1370
中部	16429	25	1108
関東	22644	6	1387
東北	28421	23	1591
九州	29887	18	601
関西	13142	15	1491
関東	21540	20	725
九州	19990	16	1788
関東	29326	29	675
東北	21290	18	1548
東北	27181	10	1535
九州	15560	13	1997
関東	30586	13	743
九州	16056	10	472
関西	29319	16	789
関東	15722	21	1111
九州	15463	7	803
中部	20072	13	822
関西	23698	20	1891
九州	12635	8	1854
中部	17069	24	488
関西	13330	23	425
関西	24358	6	849
関西	28213	10	1629
九州	20384	18	1088
東北	15144	19	1556
九州	29046	11	874
九州	16924	17	1657
中部	31929	16	1683
関東	20200	24	768
関東	26448	25	601
関東	25400	21	519
九州	14975	29	1846
関西	26399	29	1939
九州	14685	12	1315
九州	23484	14	1300
関東	31383	12	1237
関西	20665	15	822
関東	26973	28	809
中部	17441	13	1082
中部	27788	24	1575
関東	13768	10	1487
九州	20803	29	1623
関東	24056	15	1608
関東	31444	7	679
関東	13773	14	1166
東北	28396	19	1620
東北	21378	9	705
九州	13078	14	569
関東	12382	11	930
関東	20691	7	1040
東北	21284	6	1258
関西	13371	12	437
中部	22414	14	1306
中部	31117	15	1366
関東	16494	27	1456
中部	23407	10	818
東北	17592	18	474
関東	14552	14	1290
関東	13365	27	1478
中部	28724	29	1419
中部	30707	17	845
東北	23849	20	1711
九州	13923	17	1974
中部	18241	27	996
中部	26734	23	1055
東北	31701	27	1578
九州	19489	13	1678
関西	23187	26	821
関西	22030	15	1527
九州	22694	23	952
中部	20520	18	1639
関西	27896	8	615
東北	28193	21	964
九州	14413	27	1788
九州	14913	12	1947
東北	26476	13	1871
中部	29792	18	1379
関西	23416	19	663
中部	15844	7	602
関西	25400	16	1595
関西	19911	14	1321
中部	24766	12	463
九州	16685	6	1039
中部	24364	26	853
東北	28247	7	1569
東北	24270	5	893
東北	21519	5	1234
中部	31847	16	1409
中部	26480	16	1573
九州	27179	26	1315
九州	30130	29	684
東北	27787	11	1603
関東	23785	8	1294
東北	24663	6	940
中部	18840	12	471
九州	25718	19	481
関西	25813	20	1158
九州	16994	25	408
東北	21991	23	1105
東北	14628	9	517
東北	15530	6	1270
関西	18326	15	516
東北	24005	18	1389
関東	26330	7	1948
関西	31594	5	1525
関西	25974	23	1178
関東	23530	8	1813
九州	18217	11	784
九州	14009	18	1113
九州	26177	29	1721
東北	19850	12	1310
関東	19044	8	1445
中部	25351	7	1599
関東	16336	29	1823
関西	26896	28	1752
東北	19760	28	1495
関東	30004	27	1268
関東	24868	17	412
九州	26231	19	1210
関東	13477	20	1963
関東	22961	6	1609
九州	18884	29	1643
東北	12238	29	1211
東北	26580	13	1643
九州	30537	20	1934
関西	13891	20	1822
九州	17695	11	1342
東北	14843	6	1025
東北	13916	6	849
関東	29325	23	1504
関東	13688	12	1418
東北	23547	15	453
東北	13997	29	1044
関西	16450	8	1152
中部	23737	24	1490
関東	16952	19	1914
九州	29973	11	1650
関西	21035	21	1740
中部	17551	18	1112
関西	25551	21	1332
関東	18433	23	1766
東北	22590	11	1231
中部	27529	22	536
東北	30412	6	1303
関西	20437	18	1147
関東	30684	29	1201
関東	21017	16	1324
関西	16360	19	982
中部	22061	13	1203
東北	14214	23	462
東北	17583	29	1230
九州	28391	24	971
関東	27176	20	1527
九州	23794	29	1413
東北	19106	7	1054
中部	29082	26	771
東北	17448	10	1000
関西	17244	6	912
関西	15843	16	1937
東北	20971	29	970
東北	22627	12	559
関東	29829	11	1410
関西	24156	17	790
関東	14436	12	1873
東北	18372	14	1613
関西	31317	22	696
九州	13980	25	1857
東北	19786	25	1995
関東	28122	25	1262
関西	30043	17	913
東北	13982	8	1730
九州	17493	9	1425
九州	28295	19	1102
九州	19771	5	891
関西	27381	18	1688
関東	16507	14	914
関東	31580	29	614
関西	15609	7	1605
九州	14047	12	502
中部	12117	16	1377
九州	29121	6	1533
関西	16231	23	1888
関東	15452	18	1085
中部	16493	12	1653
関西	27608	19	539
関東	30932	15	1400
東北	26608	9	466
関西	25030	7	1954
関東	24983	27	1027
関東	13007	22	1163
関西	22557	7	1977
中部	13832	25	1609
関西	30169	12	862
九州	30867	5	1529
九州	15307	12	968
九州	15145	25	506
東北	28010	14	667
東北	18894	13	1577
中部	20419	24	1676
関東	24965	24	1944
中部	14649	10	476
関西	31610	24	1844
九州	29173	12	1414
中部	27171	8	1987
中部	12040	27	1536
中部	28986	12	1203
東北	13733	9	448
中部	13733	22	640
中部	30897	20	953
関東	13615	20	1501
関東	18645	10	1135
東北	23759	18	1292
東北	17813	28	694
中部	15737	12	1820
関東	17410	16	1151
九州	27905	17	1125
関東	18997	29	1456
関東	12926	9	1081
関東	26191	16	1160
東北	20183	29	838
東北	25104	5	1504
関東	12251	25	1581
中部	12897	27	1906
東北	27718	18	669
東北	26285	18	1826
九州	13389	12	1328
中部	20923	8	770
関東	16210	10	1464
関西	27620	12	1651
中部	15803	15	1068
東北	26070	29	1724
関東	15294	17	471
九州	20800	28	830
関西	21350	16	682
関東	27516	6	1847
関東	14800	24	1061
東北	27056	24	445
関西	31198	23	1899
関東	13061	25	1393
関西	18608	21	764
関東	25864	11	679
関西	26770	26	1289
東北	17258	29	1757
東北	16425	25	676
中部	18229	10	1740
九州	20468	13	1970
東北	13857	13	1822
東北	21016	15	1267
関東	17639	7	1817
東北	29436	13	1250
関東	30625	5	1493
中部	29676	18	831
九州	20340	25	957
関東	25744	7	727
関東	15911	17	638
関西	13786	14	1011
中部	19226	25	1823
東北	13192	26	654
九州	18910	10	1371
九州	25500	25	1529
九州	23554	20	1785
東北	25571	18	474
関東	19650	6	1408
中部	30095	11	1420
関東	31214	16	1265
関西	12240	28	487
九州	25654	19	1594
中部	28917	6	833
関西	13761	7	1970
東北	31452	29	1561
東北	29404	20	972
関西	23259	16	1501
九州	14937	16	975
九州	27639	28	1069
東北	25966	14	928
中部	30775	6	1377
関西	29714	16	1018
中部	13310	27	1908
関東	17402	9	872
九州	25498	15	1447
関東	12566	16	1200
中部	16532	22	1110
九州	14140	13	708
関西	14653	22	462
東北	25392	14	626
九州	27501	21	898
